base_offset,regname,width,comment
0xA00,SIMCR,16,SIM CONFIGURATION
0xA02,SIMTR,16,FACTORY TEST
0xA04,SYNCR,16,CLOCK SYNTHESIZER CONTROL
0xA06,RSR,8,RESET STATUS REGISTER
0xA08,SIMTRE,16,MODULE TEST E
0xA10,PORTE0,8,PORT E DATA
0xA12,PORTE1,8,PORT E DATA
0xA14,DDRE,8,PORT E DATA DIRECTION
0xA16,PEPAR,8,PORT E PIN ASSIGNMENT
0xA18,PORTF0,8,PORT F DATA
0xA1A,PORTF1,8,PORT F DATA
0xA1C,DDRF,8,PORT F DATA DIRECTION
0xA1E,PFPAR,8,PORT F PIN ASSIGNMENT
0xA20,SYPCR,8,SYSTEM PROTECTION CONTROL
0xA22,PICR,16,PERIODIC INTERRUPT CONTROL
0xA24,PITR,16,PERIODIC INTERRUPT TIMING
0xA26,SWSR,8,SOFTWARE SERVICE
0xA30,TSTMSRA,8,TEST MODULE MASTER SHIFT A
0xA32,TSTMSRB,16,TEST MODULE MASTER SHIFT B
0xA34,TSTSC,16,TEST MODULE SHIFT COUNT
0xA36,TSTRC,16,TEST MODULE REPETITION COUNTER
0xA38,CREG,16,TEST MODULE CONTROL
0xA3A,DREG,16,TEST MODULE DISTRIBUTED REGISTER
0xA40,PORTC,8,PORT C DATA
0xA44,CSPAR0,16,CHIP-SELECT PIN ASSIGNMENT
0xA46,CSPAR1,16,CHIP-SELECT PIN ASSIGNMENT
0xA48,CSBARBT,16,CHIP-SELECT BASE BOOT
0xA4A,CSORBT,16,CHIP-SELECT OPTION BOOT
0xA4C,CSBAR0,16,CHIP-SELECT BASE 0
0xA4E,CSOR0,16,CHIP-SELECT OPTION 0
0xA50,CSBAR1,16,CHIP-SELECT BASE 1
0xA52,CSOR1,16,CHIP-SELECT OPTION 1
0xA54,CSBAR2,16,CHIP-SELECT BASE 2
0xA56,CSOR2,16,CHIP-SELECT OPTION 2
0xA58,CSBAR3,16,CHIP-SELECT BASE 3
0xA5A,CSOR3,16,CHIP-SELECT OPTION 3
0xA5C,CSBAR4,16,CHIP-SELECT BASE 4
0xA5E,CSOR4,16,CHIP-SELECT OPTION 4
0xA60,CSBAR5,16,CHIP-SELECT BASE 5
0xA62,CSOR5,16,CHIP-SELECT OPTION 5
0xA64,CSBAR6,16,CHIP-SELECT BASE 6
0xA66,CSOR6,16,CHIP-SELECT OPTION 6
0xA68,CSBAR7,16,CHIP-SELECT BASE 7
0xA6A,CSOR7,16,CHIP-SELECT OPTION 7
0xA6C,CSBAR8,16,CHIP-SELECT BASE 8
0xA6E,CSOR8,16,CHIP-SELECT OPTION 8
0xA70,CSBAR9,16,CHIP-SELECT BASE 9
0xA72,CSOR9,16,CHIP-SELECT OPTION 9
0xA74,CSBAR10,16,CHIP-SELECT BASE 10
0xA76,CSOR10,16,CHIP-SELECT OPTION 10
0xB00,TRAMMCR,16,TPURAM MODULE CONFIGURATION REGISTER
0xB02,TRAMTST,16,TPURAM TEST REGISTER
0xB04,TRAMBAR,16,TPURAM BASE ADDRESS AND STATUS REGISTER
0xC00,QSMCR,16,QSM MODULE CONFIGURATION
0xC02,QTEST,16,QSM TEST
0xC04,QILR,8,QSM INTERRUPT LEVEL
0xC05,QIVR,8,QSM INTERRUPT VECTOR
0xC08,SCCR0,16,SCI CONTROL 0
0xC0A,SCCR1,16,SCI CONTROL 1
0xC0C,SCSR,16,SCI STATUS
0xC0E,SCDR,16,SCI DATA
0xC14,PORTQS,8,PQS DATA
0xC16,PQSPAR,8,PQS PIN ASSIGNMENT
0xC17,DDRQS,8,PQS DATA DIRECTION
0xC18,SPCR0,16,SPI CONTROL 0
0xC1A,SPCR1,16,SPI CONTROL 1
0xC1C,SPCR2,16,SPI CONTROL 2
0xC1E,SPCR3,8,SPI CONTROL 3
0xC1F,SPSR,8,SPI STATUS
0xD00,QSPI_RR,8,RECEIVE RAM
0xD20,QSPI_TR,8,TRANSMIT RAM
0xD40,QSPI_CR,8,COMMAND RAM
0xE00,TPUMCR,16,TPU MODULE CONFIGURATION REGISTER
0xE02,TCR,16,TEST CONFIGURATION REGISTER
0xE04,DSCR,16,DEVELOPMENT SUPPORT CONTROL REGISTER
0xE06,DSSR,16,DEVELOPMENT SUPPORT STATUS REGISTER
0xE08,TICR,16,TPU INTERRUPT CONFIGURATION REGISTER
0xE0A,CIER,16,CHANNEL INTERRUPT ENABLE REGISTER
0xE0C,CFSR0,16,CHANNEL FUNCTION SELECTION REGISTER 0
0xE0E,CFSR1,16,CHANNEL FUNCTION SELECTION REGISTER 1
0xE10,CFSR2,16,CHANNEL FUNCTION SELECTION REGISTER 2
0xE12,CFSR3,16,CHANNEL FUNCTION SELECTION REGISTER 3
0xE14,HSQR0,16,HOST SEQUENCE REGISTER 0
0xE16,HSQR1,16,HOST SEQUENCE REGISTER 1
0xE18,HSRR0,16,HOST SERVICE REQUEST REGISTER 0
0xE1A,HSRR1,16,HOST SERVICE REQUEST REGISTER 1
0xE1C,CPR0,16,CHANNEL PRIORITY REGISTER 0
0xE1E,CPR1,16,CHANNEL PRIORITY REGISTER 1
0xE20,CISR,16,CHANNEL INTERRUPT STATUS REGISTER
0xE22,LR,16,LINK REGISTER
0xE24,SGLR,16,SERVICE GRANT LATCH REGISTER
0xE26,DCNR,16,DECODED CHANNEL NUMBER REGISTER
